ID; NOME_PROG; MOTIVO; ESTADO_ANT; ESTADO_NOVO; TABELA_PAGINAS
1; fatorial; criacao; NULO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; finalizacao; EXECUTANDO; TERMINADO; { [0,0,mp] }
2; fatorialV2; criacao; NULO; PRONTO; { [0,0,mp], [1,_,_] }
2; fatorialV2; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,_,_] }
2; fatorialV2; Page_Fault; EXECUTANDO; BLOQUEADO; { [0,0,mp], [1,_,_] }
2; fatorialV2; Fim_Page_Fault; BLOQUEADO; PRONTO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; E/S_Console; EXECUTANDO; BLOQUEADO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; Fim_E/S_Console; BLOQUEADO; PRONTO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
2; fatorialV2; finalizacao; EXECUTANDO; TERMINADO; { [0,0,mp], [1,1,mp] }
3; progMinimo; criacao; NULO; PRONTO; { [0,0,mp] }
3; progMinimo; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
3; progMinimo; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
3; progMinimo; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
3; progMinimo; finalizacao; EXECUTANDO; TERMINADO; { [0,0,mp] }
4; fibonacci10; criacao; NULO; PRONTO; { [0,0,mp], [1,_,_] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,_,_] }
4; fibonacci10; Page_Fault; EXECUTANDO; BLOQUEADO; { [0,0,mp], [1,_,_] }
4; fibonacci10; Fim_Page_Fault; BLOQUEADO; PRONTO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,1,mp] }
4; fibonacci10; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp], [1,1,mp] }
